"Series";"Time";"Value"
"CPU0";"2020-03-25T13:30:00";79
"CPU0";"2020-03-25T13:30:00";80
"CPU0";"2020-03-25T13:30:00";78
"CPU0";"2020-03-25T13:30:00";81
"CPU0";"2020-03-25T14:00:00";80
"CPU0";"2020-03-25T14:00:00";79
"CPU0";"2020-03-25T14:00:00";81
"CPU0";"2020-03-25T14:30:00";79
"CPU0";"2020-03-25T14:30:00";80
"CPU0";"2020-03-25T14:30:00";81
"CPU0";"2020-03-25T15:00:00";79
"CPU0";"2020-03-25T15:00:00";80
"CPU0";"2020-03-25T15:00:00";81
"CPU0";"2020-03-25T15:00:00";78
"CPU0";"2020-03-25T15:30:00";79
"CPU0";"2020-03-25T15:30:00";80
"CPU0";"2020-03-25T15:30:00";81
"CPU0";"2020-03-25T15:30:00";78
"CPU0";"2020-03-25T16:00:00";80
"CPU0";"2020-03-25T16:00:00";79
"CPU0";"2020-03-25T16:00:00";81
"CPU0";"2020-03-25T16:00:00";78
"CPU0";"2020-03-25T16:30:00";79
"CPU0";"2020-03-25T16:30:00";80
"CPU0";"2020-03-25T16:30:00";81
"CPU0";"2020-03-25T16:30:00";78
"CPU0";"2020-03-25T17:00:00";80
"CPU0";"2020-03-25T17:00:00";79
"CPU0";"2020-03-25T17:00:00";78
"CPU0";"2020-03-25T17:00:00";81
"CPU0";"2020-03-25T17:30:00";79
"CPU0";"2020-03-25T17:30:00";80
"CPU0";"2020-03-25T17:30:00";78
"CPU0";"2020-03-25T18:00:00";78
"CPU0";"2020-03-25T18:00:00";79
"CPU0";"2020-03-25T18:00:00";80
"CPU0";"2020-03-25T18:30:00";79
"CPU0";"2020-03-25T18:30:00";80
"CPU0";"2020-03-25T18:30:00";78
"CPU0";"2020-03-25T19:00:00";80
"CPU0";"2020-03-25T19:00:00";79
"CPU0";"2020-03-25T19:00:00";78
"CPU0";"2020-03-25T19:00:00";81
"CPU0";"2020-03-25T19:30:00";79
"CPU0";"2020-03-25T19:30:00";80
"CPU0";"2020-03-25T19:30:00";78
"CPU0";"2020-03-25T19:30:00";81
"CPU0";"2020-03-25T20:00:00";79
"CPU0";"2020-03-25T20:00:00";78
"CPU0";"2020-03-25T20:00:00";80
"CPU0";"2020-03-25T20:30:00";78
"CPU0";"2020-03-25T20:30:00";79
"CPU0";"2020-03-25T20:30:00";80
"CPU0";"2020-03-25T21:00:00";80
"CPU0";"2020-03-25T21:00:00";79
"CPU0";"2020-03-25T21:00:00";78
"CPU0";"2020-03-25T21:30:00";79
"CPU0";"2020-03-25T21:30:00";78
"CPU0";"2020-03-25T21:30:00";80
"CPU0";"2020-03-25T22:00:00";79
"CPU0";"2020-03-25T22:00:00";80
"CPU0";"2020-03-25T22:00:00";78
"CPU0";"2020-03-25T22:30:00";79
"CPU0";"2020-03-25T22:30:00";80
"CPU0";"2020-03-25T22:30:00";78
"CPU0";"2020-03-25T23:00:00";80
"CPU0";"2020-03-25T23:00:00";79
"CPU0";"2020-03-25T23:00:00";78
"CPU0";"2020-03-25T23:30:00";78
"CPU0";"2020-03-25T23:30:00";79
"CPU0";"2020-03-25T23:30:00";80
"CPU0";"2020-03-26T00:00:00";78
"CPU0";"2020-03-26T00:00:00";79
"CPU0";"2020-03-26T00:00:00";80
"CPU0";"2020-03-26T00:00:00";77
"CPU0";"2020-03-26T00:30:00";78
"CPU0";"2020-03-26T00:30:00";79
"CPU0";"2020-03-26T00:30:00";80
"CPU0";"2020-03-26T01:00:00";79
"CPU0";"2020-03-26T01:00:00";78
"CPU0";"2020-03-26T01:00:00";80
"CPU0";"2020-03-26T01:30:00";78
"CPU0";"2020-03-26T01:30:00";80
"CPU0";"2020-03-26T01:30:00";79
"CPU0";"2020-03-26T02:00:00";78
"CPU0";"2020-03-26T02:00:00";79
"CPU0";"2020-03-26T02:00:00";77
"CPU0";"2020-03-26T02:00:00";80
"CPU0";"2020-03-26T02:30:00";78
"CPU0";"2020-03-26T02:30:00";77
"CPU0";"2020-03-26T02:30:00";80
"CPU0";"2020-03-26T02:30:00";79
"CPU0";"2020-03-26T03:00:00";79
"CPU0";"2020-03-26T03:00:00";78
"CPU0";"2020-03-26T03:00:00";77
"CPU0";"2020-03-26T03:30:00";78
"CPU0";"2020-03-26T03:30:00";79
"CPU0";"2020-03-26T03:30:00";77
"CPU0";"2020-03-26T03:30:00";80
"CPU0";"2020-03-26T04:00:00";78
"CPU0";"2020-03-26T04:00:00";77
"CPU0";"2020-03-26T04:00:00";79
"CPU0";"2020-03-26T04:30:00";77
"CPU0";"2020-03-26T04:30:00";78
"CPU0";"2020-03-26T04:30:00";79
"CPU0";"2020-03-26T05:00:00";78
"CPU0";"2020-03-26T05:00:00";79
"CPU0";"2020-03-26T05:00:00";77
"CPU0";"2020-03-26T05:30:00";78
"CPU0";"2020-03-26T05:30:00";79
"CPU0";"2020-03-26T05:30:00";77
"CPU0";"2020-03-26T05:30:00";80
"CPU0";"2020-03-26T06:00:00";78
"CPU0";"2020-03-26T06:00:00";79
"CPU0";"2020-03-26T06:00:00";77
"CPU0";"2020-03-26T06:30:00";77
"CPU0";"2020-03-26T06:30:00";79
"CPU0";"2020-03-26T06:30:00";78
"CPU0";"2020-03-26T07:00:00";79
"CPU0";"2020-03-26T07:00:00";78
"CPU0";"2020-03-26T07:00:00";77
"CPU0";"2020-03-26T07:30:00";77
"CPU0";"2020-03-26T07:30:00";78
"CPU0";"2020-03-26T07:30:00";79
"CPU0";"2020-03-26T08:00:00";79
"CPU0";"2020-03-26T08:00:00";77
"CPU0";"2020-03-26T08:00:00";78
"CPU0";"2020-03-26T08:30:00";77
"CPU0";"2020-03-26T08:30:00";79
"CPU0";"2020-03-26T08:30:00";78
"CPU0";"2020-03-26T09:00:00";79
"CPU0";"2020-03-26T09:00:00";77
"CPU0";"2020-03-26T09:00:00";78
"CPU0";"2020-03-26T09:30:00";77
"CPU0";"2020-03-26T09:30:00";78
"CPU0";"2020-03-26T09:30:00";79
"CPU0";"2020-03-26T10:00:00";79
"CPU0";"2020-03-26T10:00:00";77
"CPU0";"2020-03-26T10:00:00";78
"CPU0";"2020-03-26T10:30:00";78
"CPU0";"2020-03-26T10:30:00";77
"CPU0";"2020-03-26T10:30:00";79
