"Series";"Time";"Value"
"CPU0";"2019-08-27T13:40:00";80
"CPU0";"2019-08-27T13:42:00";79
"CPU0";"2019-08-27T13:44:00";80
"CPU0";"2019-08-27T13:44:00";79
"CPU0";"2019-08-27T13:46:00";79
"CPU0";"2019-08-27T13:48:00";79
"CPU0";"2019-08-27T13:48:00";80
"CPU0";"2019-08-27T13:50:00";79
"CPU0";"2019-08-27T13:52:00";80
"CPU0";"2019-08-27T13:54:00";79
"CPU0";"2019-08-27T13:56:00";80
"CPU0";"2019-08-27T13:58:00";79
"CPU0";"2019-08-27T14:00:00";80
"CPU0";"2019-08-27T14:02:00";79
"CPU0";"2019-08-27T14:04:00";80
"CPU0";"2019-08-27T14:04:00";81
"CPU0";"2019-08-27T14:06:00";79
"CPU0";"2019-08-27T14:08:00";79
"CPU0";"2019-08-27T14:08:00";80
"CPU0";"2019-08-27T14:10:00";79
"CPU0";"2019-08-27T14:12:00";79
"CPU0";"2019-08-27T14:12:00";80
"CPU0";"2019-08-27T14:14:00";79
"CPU0";"2019-08-27T14:16:00";81
"CPU0";"2019-08-27T14:16:00";80
"CPU0";"2019-08-27T14:18:00";79
"CPU0";"2019-08-27T14:20:00";79
"CPU0";"2019-08-27T14:20:00";80
"CPU0";"2019-08-27T14:22:00";79
"CPU0";"2019-08-27T14:24:00";80
"CPU0";"2019-08-27T14:24:00";79
"CPU0";"2019-08-27T14:26:00";79
"CPU0";"2019-08-27T14:28:00";80
"CPU0";"2019-08-27T14:30:00";79
"CPU0";"2019-08-27T14:32:00";79
"CPU0";"2019-08-27T14:32:00";81
"CPU0";"2019-08-27T14:34:00";79
"CPU0";"2019-08-27T14:36:00";80
"CPU0";"2019-08-27T14:38:00";79
"CPU0";"2019-08-27T14:40:00";81
"CPU0";"2019-08-27T14:42:00";79
"CPU0";"2019-08-27T14:44:00";80
"CPU0";"2019-08-27T14:46:00";79
"CPU0";"2019-08-27T14:46:00";80
"CPU0";"2019-08-27T14:48:00";80
"CPU0";"2019-08-27T14:50:00";79
"CPU0";"2019-08-27T14:52:00";80
"CPU0";"2019-08-27T14:54:00";79
"CPU0";"2019-08-27T14:56:00";80
"CPU0";"2019-08-27T14:56:00";79
"CPU0";"2019-08-27T14:58:00";78
"CPU0";"2019-08-27T14:58:00";77
"CPU0";"2019-08-27T15:00:00";77
"CPU0";"2019-08-27T15:02:00";77
"CPU0";"2019-08-27T15:02:00";76
"CPU0";"2019-08-27T15:04:00";76
"CPU0";"2019-08-27T15:04:00";77
"CPU0";"2019-08-27T15:06:00";76
"CPU0";"2019-08-27T15:06:00";75
"CPU0";"2019-08-27T15:08:00";77
"CPU0";"2019-08-27T15:10:00";75
"CPU0";"2019-08-27T15:10:00";76
"CPU0";"2019-08-27T15:12:00";75
